x y z obstacle 
85443.4 446900.0 7.636 0
85449.5 446896.0 7.845 1
85450.0 446896.0 7.873 1
85448.5 446895.0 5.048 2
85448.5 446895.0 4.865 2
85448.1 446895.0 5.04 2
85448.1 446895.0 4.732 2
85448.4 446894.0 3.54 2
85447.9 446894.0 3.458 2
85447.6 446894.0 3.414 2
85447.5 446894.0 3.364 2
85448.8 446894.0 5.051 2
85448.8 446894.0 4.776 2
85447.7 446895.0 4.664 2
85447.7 446895.0 4.986 2
85447.4 446895.0 4.986 2
85447.4 446895.0 4.664 2
85447.1 446895.0 4.934 2
85447.0 446895.0 4.682 2
85446.7 446895.0 4.95 2
85446.7 446895.0 4.69 2
85446.4 446895.0 4.709 2
85446.4 446895.0 4.905 2
85446.0 446895.0 4.875 2
85446.0 446895.0 4.7 2
85445.6 446895.0 4.896 2
85449.5 446895.0 7.86 3
85449.5 446895.0 7.231 4
85440.5 446897.0 7.892 5
85440.4 446896.0 7.89 5
85440.5 446897.0 7.895 5
85440.5 446897.0 7.884 5
85430.8 446897.0 7.814 6
85430.9 446898.0 7.905 6
85430.9 446898.0 7.815 6
85430.6 446898.0 7.823 6
85430.5 446897.0 7.741 6
85430.5 446898.0 7.886 6
85432.9 446896.0 3.516 7
85432.4 446896.0 3.514 7
85432.0 446896.0 3.503 7
85431.7 446896.0 3.44 7
85431.3 446896.0 3.491 7
85430.8 446897.0 5.699 7
85430.4 446897.0 5.745 7
85440.1 446896.0 7.894 8
85440.1 446897.0 7.901 8
85440.1 446897.0 7.897 8
85440.2 446897.0 7.902 8
85440.4 446896.0 7.273 9
85439.3 446896.0 4.868 9
85439.3 446896.0 5.076 9
85438.9 446896.0 5.038 9
85438.9 446896.0 4.837 9
85438.6 446896.0 5.029 9
85440.0 446896.0 6.883 9
85438.6 446896.0 4.703 10
85438.2 446896.0 4.668 10
85438.3 446896.0 4.954 10
85437.8 446896.0 4.697 10
85437.8 446896.0 5.1 10
85437.3 446896.0 4.99 10
85436.8 446896.0 4.821 10
85436.4 446896.0 4.761 10
85436.0 446896.0 4.686 10
85436.1 446896.0 5.108 10
85435.7 446896.0 5.044 10
85435.7 446896.0 4.718 10
85435.4 446896.0 4.989 10
85434.9 446896.0 3.481 10
85435.0 446896.0 3.473 10
85435.0 446896.0 3.458 10
85435.0 446896.0 4.843 10
85434.5 446896.0 3.498 10
85434.6 446896.0 4.72 10
85434.2 446896.0 4.696 10
85434.1 446896.0 3.132 10
85433.8 446896.0 4.695 10
85431.4 446903.0 5.972 11
85431.3 446902.0 6.486 11
85431.1 446901.0 7.217 11
85431.0 446900.0 6.617 11
85431.2 446901.0 7.257 11
85431.4 446904.0 5.222 11
85431.1 446900.0 6.834 11
85421.9 446912.0 7.484 12
85421.6 446912.0 7.855 12
85421.7 446912.0 7.977 12
85421.3 446912.0 7.732 12
85421.4 446912.0 7.886 12
85422.0 446913.0 7.861 12
85422.0 446912.0 7.865 12
85421.7 446913.0 7.873 12
85421.4 446913.0 7.865 12
85421.6 446912.0 6.099 13
85421.3 446912.0 5.83 13
85418.6 446912.0 3.452 14
85418.4 446912.0 3.527 14
85418.1 446912.0 3.506 14
85417.4 446913.0 5.011 14
85417.4 446913.0 4.744 14
85417.3 446913.0 3.62 14
85417.3 446912.0 3.746 14
85417.1 446913.0 5.021 14
